Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Formality,https://www.crunchbase.com/organization/formality,,91000,Formality provides intelligent contract management services to manage legal documents.,,"Legal, SaaS","Évry, Ile-de-France, France",Formality provides intelligent contract management services.,"2,738",2023-01-01,year,,Pierre Marechal,Private,"2,824",,2024-10-02,2,Seed,5600000,EUR,6197727,Seed,8000000,EUR,8853896,5600000,EUR,6197727,Seed,5600000,EUR,6197727,"Bpifrance, Serena, Partech",3,"Professional Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.formality.com/,https://www.linkedin.com/company/formality-group/about/,,11-50
Aerleum,https://www.crunchbase.com/organization/aerleum,,,Aerleum Develops a groundbreaking system that combines CO2 capture and conversion to produce clean fuels and chemicals.,,Chemical,"Strasbourg, Alsace, France",Aerleum Develops a groundbreaking system that combines CO2 capture and conversion to produce clean fuels and chemicals.,"2,799",2023-01-01,year,,,Private,"2,889",,2024-10-14,2,Seed,5500000,EUR,6002303,Seed,6127303,USD,6127303,5500000,EUR,6002303,Seed,6127303,USD,6127303,"Bpifrance, HTGF | High-Tech Gruenderfonds, 360 Capital, Norrsken VC, Norrsken Accelerator",6,Science and Engineering,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.aerleum.com,https://www.linkedin.com/company/aerleum,,1-10
JUST,https://www.crunchbase.com/organization/just-009e,,,"JUST is a digital solution that enhances e-commerce checkout experiences for brands. It integrates features that reduce cart abandonment and increase conversion rates, driving revenue growth. The platform partners with e-commerce providers to offer a customized, seamless shopping journey for customers.",,"E-Commerce, Mobile Payments, Payments","Paris, Ile-de-France, France",JUST is a platform that streamlines e-commerce checkout processes for brands.,"3,256",2021-01-01,year,,,Private,"3,358",,2024-11-15,4,Seed,8000000,EUR,8433054,Seed,11000000,EUR,11557605,8000000,EUR,8433054,Seed,11000000,EUR,11557605,"Kima Ventures, Daphni, Edward Lando, FJ Labs, BACKED VC",15,"Commerce and Shopping, Financial Services, Mobile, Payments, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.getjust.eu,https://www.linkedin.com/company/getjust,,11-50
IonKraft,https://www.crunchbase.com/organization/ionkraft,,52074,"IonKraft can provide better performance at a lower cost while maintaining recyclability, they also promote material reduction and reuse and are commercializing the technology with funding from the German Federal Ministry for Economic Affairs and Energy (BMWi).",,Machinery Manufacturing,"Aachen, Nordrhein-Westfalen, Germany","IonKraft can provide better performance at a lower cost while maintaining recyclability, they also promote material reduction and reuse.","3,495",2021-01-01,year,,,Private,"3,603",,2024-11-18,2,Seed,3500000,EUR,3698326,Seed,5999438,EUR,6350829,3500000,EUR,3698326,Seed,3500000,EUR,3698326,"HTGF | High-Tech Gruenderfonds, European Innovation Council, M Ventures, TechVision Fund",4,Manufacturing,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://ionkraft.com,https://www.linkedin.com/company/ionkraft,hello@ionkraft.com,1-10
GlassFlow,https://www.crunchbase.com/organization/glassflow,Growing,,GlassFlow is a Python solution for creating and maintaining event-driven data pipelines. Data teams no longer have to worry about infrastructure complexity thanks to serverless execution and built-in interfaces.,,"Big Data, Cloud Data Services, Cloud Infrastructure, Developer Tools, Information Technology, IT Infrastructure, SaaS, Software","Berlin, Berlin, Germany",GlassFlow is a next-gen data streaming infrastructure company on a mission to democratize data streaming.,"3,599",2023-04-25,day,,"Armend Avdijaj, Ashish Bagri",Private,"3,710",,2024-10-29,2,Seed,4800000,USD,4800000,Seed,5900000,USD,5900000,4800000,USD,4800000,Seed,5900000,USD,5900000,"HTGF | High-Tech Gruenderfonds, Roosh Ventures, Upfront Ventures, Robin Capital, Tiny VC",9,"Data and Analytics, Hardware, Information Technology, Internet Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.glassflow.dev/,https://www.linkedin.com/company/glassflow-dev,,1-10
Antiverse,https://www.crunchbase.com/organization/antiverse,Growing,CF24 4HQ,"Antiverse is a new type of antibody discovery company accelerating drug development. Its platform exists at the intersection of structural biology, machine learning, and medicine to enable breakthroughs to happen more quickly and cost-effectively. It is dedicated to engineering the future of drug development to change the course of people's lives.",,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Machine Learning","Cardiff, Cardiff, United Kingdom",Antiverse is dedicated to engineering the future of drug development to change the course of people's lives.,"3,623",2017-04-01,month,,"Ben Holland, Murat Tunaboylu, Rowina Westermeier",Private,"3,732",,2024-10-15,9,Seed,3500000,GBP,4572820,Seed,7760000,GBP,9773494,3500000,GBP,4572820,Seed,7670000,GBP,9656410,"Future Planet Capital, SyndicateRoom, AngelHub, Tensor Ventures, UK Innovation & Science Seed Fund",18,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",http://antiverse.io,https://www.linkedin.com/company/11126341/,info@antiverse.io,11-50
Passionfroot,https://www.crunchbase.com/organization/passionfroot,Growing,,"Passionfroot provides a centralized location for creators and media companies to manage sponsorships, collaboration requests, bookings, and payments.",,"Information Technology, Web Browsers, Web Hosting","Berlin, Berlin, Germany","Passionfroot is a tool that helps creators keep track of their clients, cashflow and projects.","3,659",2021-01-01,year,,"Jennifer Phan, Jens Joseph Mannanal, Michelle Tian",Private,"3,771",,2024-10-21,2,Seed,3800000,USD,3800000,Seed,7187048,USD,7187048,3800000,USD,3800000,Seed,7187048,USD,7187048,"Austin Lau, Vivek Ramani, Sequoia Capital, Creandum, big_bets",21,"Information Technology, Internet Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.passionfroot.me/,https://www.linkedin.com/company/get-passionfroot/,,1-10
AirForestry,https://www.crunchbase.com/organization/airforestry,Growing,,"AirForestry We are building the forestry of the future AirForestry thins forests in a completely new way, namely from the air. Through our innovative thinning, we reduce carbon dioxide emissions from forestry work while increasing the forest's ability to sequester carbon by freeling up 20% of forest land that is currently used for forestry access roads. By creating better forests, we contribute to a more sustainable society - economically, environmentally and socially. A sustainable society is not only our main goal but also our main driving force.",,"Drones, Environmental Engineering, Forestry, GreenTech, Sustainability","Uppsala, Uppsala Lan, Sweden","#Re-inventing Forestry. We are building the forestry of the future, from above with drones.","3,692",2019-01-01,year,,"Caroline Walerud, Markus Romar, Mauritz Andersson, Olle Gelin",Private,"3,806",,2024-10-10,5,Seed,8600000,EUR,9402894,Seed,14568075,USD,14568075,8600000,EUR,9402894,Seed,11590778,USD,11590778,"Northzone, CapitalT, Vinnova, SEB Greentech Venture Capital, Kiko Ventures",17,"Agriculture and Farming, Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Sustainability",,"European Union (EU), Nordic Countries, Scandinavia",https://www.airforestry.com/en/,https://www.linkedin.com/company/airforestry/,info@airforestry.com,11-50
Powerful Medical,https://www.crunchbase.com/organization/powerful-medical,Growing,841 04,"We believe that the transition from purely human-made clinical decisions to decisions augmented by AI is one of the most important shifts in modern medicine and constitutes a turning point that needs to happen now. We’re cooperating with several leading healthcare providers within the EU and are backed by multiple European early-stage VCs. Our AI-powered clinical assistant aids doctors with the diagnosis and personalised treatment of cardiovascular diseases. It’s currently being used by healthcare professionals in the DACH region, UK, Belgium, Italy, Israel and Slovakia. Our multimodality solution is not constrained to physicians, we also cater to health insurance companies, telemedicine providers and medical device manufacturers. We’re also working on several breakthrough studies, such as individualised mortality & treatment effectivity prediction and improved management of acute coronary syndrome patients using AI with our research partners, which include the OLV Cardiocentrum Aalst, Rabin Medical Center Tel Aviv and the Dept. of Medical Sciences of the University of Turin, pending patents and publications.",,"Artificial Intelligence (AI), Big Data, Health Care, Health Diagnostics, Image Recognition, Machine Learning, Medical, Medical Device, Software","Samorin, Bratislava, Slovakia (Slovak Republic)",Powerful Medical provides AI solutions that enable medical professionals to accurately diagnose and treat cardiovascular disease.,"3,734",2017-01-01,year,,"Felix Bauer, Martin Herman, Robert Herman, Simon Rovder, Viktor Jurasek",Private,"3,848",,2024-02-28,4,Seed,5000000,USD,5000000,Seed,15230754,USD,15230754,5000000,USD,5000000,Seed,12521153,USD,12521153,"EIC Accelerator, Arieli Capital, bpd partners, Venture to Future Fund, Zero One Hundred",6,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.powerfulmedical.com/,https://www.linkedin.com/company/powerful-medical/,sales@powerfulmedical.com,51-100
Radical Forge,https://www.crunchbase.com/organization/radical-forge,,TS2 1NY,,,"Apps, Online Games, PC Games, Web Development","Middlesbrough, Middlesbrough, United Kingdom","Radical Forge is a company that develops video games that are sharp, adaptive, and daring.","3,756",2017-01-01,year,,,Private,"3,871",,2024-11-04,1,Seed,2600000,GBP,3377641,Seed,2600000,GBP,3377641,2600000,GBP,3377641,Seed,2600000,GBP,3377641,Mercia Ventures,1,"Apps, Gaming, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.radicalforge.com/,https://www.linkedin.com/company/radical-forge-ltd/,contact@radicalforge.com,11-50
Arcium,https://www.crunchbase.com/organization/arcium,Growing,6340,"Arcium is a parallelized confidential computing network that provides trustless, verifiable and efficient encrypted computation. Arcium implements Multiparty Computation Execution Environments (MXEs) that combine MPC, homomorphic encryption, zero-knowledge proofs, and more to enable computation on encrypted data.",,"Blockchain, Machine Learning, Web3","Baar, Zug, Switzerland",Arcium is the first parallelized confidential computing network.,"3,791",2022-01-01,year,,"Julian Deschler, Lukas Steiner, Nicolas Schapeler, Yannik Schrade",Private,"3,906",,2024-05-09,2,Seed,5500000,USD,5500000,Seed,9000000,USD,9000000,5500000,USD,5500000,Seed,9000000,USD,9000000,"LongHash Ventures, Greenfield, Big Brain Holdings, Coinbase Ventures, SolanaFM",43,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Internet Services, Other, Software",,"Europe, Middle East, and Africa (EMEA)",https://arcium.com,https://www.linkedin.com/company/arciumnetwork/,,11-50
BIT ODD,https://www.crunchbase.com/organization/bit-odd,,,"BIT ODD provides handcrafted game toys. The company offers games filled with wonder, weirdness, and delight. For inquiries, telephone and email are used.",,Gaming,"Helsinki, Southern Finland, Finland",BIT ODD is a developer of video games.,"4,020",2019-01-01,year,,,Private,"4,138",,2024-11-14,2,Seed,17000000,EUR,17942691,Seed,22000000,EUR,23204940,17000000,EUR,17942691,Seed,22000000,EUR,23204940,"Index Ventures, Griffin Gaming Partners, Makers Fund",3,Gaming,,"European Union (EU), Nordic Countries, Scandinavia",https://bit-odd.com/,,,11-50
